Item #,Description,Date Created,Due Date,Work Order #,Work Order Type,Status,Customer Name,SAPMaterial,Press,Press Priority,CSR,Sales Order,Quantity
I-033065,ZDL-10137608-OPTIMAG 120 C,2021-12-08,2021-12-15,10362,Internal,Scheduling,XYMO Print,200083441,,,,,24
I-033066,ZDL-GIUDJO-OPTIMAG,2021-12-08,2021-12-15,10362,Internal,Scheduling,XYMO Print,200043575,,,,,24
I-033067,ZDL-NIELCA-OPTIMAG 120 C,2021-12-08,2021-12-15,10362,Internal,Scheduling,XYMO Print,200084472,,,,,60
I-033068,ZDL-BIERIA-MP1300,2021-12-08,2021-12-15,10352,Internal,Scheduling,XYMO Print,200038895,,,xymo@xymoprint.com,,24
I-033069,ZDL-SMOLN-NEURO,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200054227,,,xymo@xymoprint.com,,12
I-031988-01,DIGESTIVE ENZYMES 120ct,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200002587,,,xymo@xymoprint.com,,24
I-030999-02,ZDL-DENNSUS--XYMOZY,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200041502,,,xymo@xymoprint.com,,96
I-030284-04,ZDL-LEMUM--XYMOZY,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200047794,,,xymo@xymoprint.com,,120
I-030034-02,ZDL-WATKZ--XYMOZY 120 C,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200081670,,,xymo@xymoprint.com,,24
I-033070,VITAMIN C W/ BIOFLAVONOIDS 90CT,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200002878,,,xymo@xymoprint.com,,24
I-032339-01,BROET- Gastragest LABELS,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200007428,,,xymo@xymoprint.com,,24
I-033071,ZDL-DAVIJEFFR-ANCHEW60,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200041203,,,xymo@xymoprint.com,,24
I-033072,ZDL-DAVIJEFFR--XYMOZY,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200041243,,,xymo@xymoprint.com,,24
I-033073,ZDL-NOBLA-MP1300,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200050489,,,xymo@xymoprint.com,,24
I-033074,ZDL-10159937--XYMOZY 120 C,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200085019,,,xymo@xymoprint.com,,24
I-033075,ZDL-10159937-MP1300 60 sg,2021-12-08,2021-12-10,10352,Internal,Scheduling,XYMO Print,200085022,,,xymo@xymoprint.com,,24
I-033076,ZDL-NCENTURY-OPTIMAG,2021-12-08,2022-01-07,10357,Internal,Scheduling,XYMO Print,200070324,,,xymo@xymoprint.com,,24
I-033077,ZDL-LAFRS-MEDDPO 120 C,2021-12-08,2021-12-15,10357,Internal,Scheduling,XYMO Print,200082995,,,xymo@xymoprint.com,,12
I-033078,ZDL-SMOLN--METH,2021-12-08,2021-12-15,10357,Internal,Scheduling,XYMO Print,200054215,,,xymo@xymoprint.com,,12
I-033079,ZDL-MORTCR-SALOX,2021-12-08,2021-12-15,10357,Internal,Scheduling,XYMO Print,200049776,,,xymo@xymoprint.com,,24
I-033080,ZDL-SMOLN-JOINT,2021-12-08,2021-12-15,10357,Internal,Scheduling,XYMO Print,200054190,,,xymo@xymoprint.com,,12
I-033081,Thyroid Support Formula 120c labels,2021-12-08,2021-12-10,10357,Internal,Scheduling,XYMO Print,200008377,,,xymo@xymoprint.com,,24
I-033082,ZDL-FRANCRO-IG26CAP,2021-12-08,2021-12-10,10357,Internal,Scheduling,XYMO Print,200042902,,,xymo@xymoprint.com,,24
I-033083,ZDL-GHEIM--NAC,2021-12-08,2021-12-10,10357,Internal,Scheduling,XYMO Print,200043443,,,xymo@xymoprint.com,,24
I-032291-01,ZDL-LEWIKR2-OSSO1100,2021-12-08,2021-12-10,10357,Internal,Scheduling,XYMO Print,200047953,,,xymo@xymoprint.com,,24
I-033084,ZDL-SMOLN--NAC,2021-12-08,2021-12-10,10357,Internal,Scheduling,XYMO Print,200054224,,,xymo@xymoprint.com,,24
I-033085,ZDL-10159937-200082433 120 C,2021-12-08,2021-12-10,10357,Internal,Scheduling,XYMO Print,200085017,,,xymo@xymoprint.com,,24
I-033086,ZDL-10159937-OPTIMAG 120 C,2021-12-08,2021-12-10,10357,Internal,Scheduling,XYMO Print,200085018,,,xymo@xymoprint.com,,24
I-033087,ZDL-10159937--ADRLIV 120 C,2021-12-08,2021-12-10,10357,Internal,Scheduling,XYMO Print,200085020,,,xymo@xymoprint.com,,24
I-032715-02,ZDL-NAVAHEALTH--K2D35000 120 C,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200084363,,,xymo@xymoprint.com,,48
I-033088,ZDL-BIERIA-DIOV,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200038883,,,xymo@xymoprint.com,,24
I-033089,ZDL-MORTCR-SGSPLUS,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200049778,,,xymo@xymoprint.com,,24
I-029260-07,ZDL-BROET-OMMPDHA 30 sg,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200082830,,,xymo@xymoprint.com,,24
I-033090,ZDL-MICCD-CURC95 60 C,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200084298,,,xymo@xymoprint.com,,24
I-033091,ZDL-MORTCR-NATTO 60 C,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200084335,,,xymo@xymoprint.com,,24
I-033092,ZDL-GENTD-RESVERP,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200043314,,,xymo@xymoprint.com,,24
I-033093,ZDL-HAASD-SGSPLUS,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200044237,,,xymo@xymoprint.com,,48
I-033094,ZDL-MORTCR-PANXYME,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200049768,,,xymo@xymoprint.com,,24
I-033095,ZDL-SMOLN-ISIGHT,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200054189,,,xymo@xymoprint.com,,12
I-033096,ZDL-SMOLN--LTHEANINE,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200054202,,,xymo@xymoprint.com,,12
I-033097,ZDL-SMOLN-METH,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200054214,,,xymo@xymoprint.com,,12
I-033098,ZDL-SOUTR-ADRENAL,2021-12-08,2021-12-15,10347,Internal,Scheduling,XYMO Print,200054510,,,xymo@xymoprint.com,,24
I-029011-15,ZDL-HELFJA-200082177 60C,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200083148,,,xymo@xymoprint.com,,12
I-031898-04,BROET- Testoplus  LABELS,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200007471,,,xymo@xymoprint.com,,24
I-033099,Attention Factor labels,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200007485,,,xymo@xymoprint.com,,24
I-033100,ZDL-SMOLN-DIOV,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200054146,,,xymo@xymoprint.com,,24
I-033101,ZDL-SMOLN-LIV,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200054199,,,xymo@xymoprint.com,,12
I-033102,ZDL-SCHRMARY-CQO100,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200080835,,,xymo@xymoprint.com,,24
I-033103,ZDL-WORDD-RESVERP 60 C,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200083242,,,xymo@xymoprint.com,,24
I-033104,ZDL-10159937-CORTIS 60 C,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200085021,,,xymo@xymoprint.com,,24
I-033105,ZDL-10159937-CURC 60 T,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200085023,,,xymo@xymoprint.com,,24
I-033106,ZDL-ROCCGO-TESTP 60 C,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200085031,,,xymo@xymoprint.com,,24
I-033107,ZDL-10181627-TESTP 60 C,2021-12-08,2021-12-10,10347,Internal,Scheduling,XYMO Print,200085033,,,xymo@xymoprint.com,,12
I-033108,Metabolism Multi 120c LABELS,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200029168,,,,,1908
I-033109,Ultimate Multiple w/o Iron 120c  LABELS,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200007391,,,,,1764
I-028472-01,ZDL-MORTCR-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200049751,,,,,504
I-028474-01,ZDL-GRABR-ANWO 120 C,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200083278,,,,,336
I-033110,ZDL-POURK-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200070272,,,,,312
I-033111,ZDL-POLICH-ANWO 120 C,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200083377,,,,,180
I-033112,ZDL-ROFRT-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200052796,,,,,156
I-028476-01,ZDL-MCWHJ-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200048917,,,,,144
I-028478-01,ZDL-OPTIMAL-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200050763,,,,,108
I-033113,ZDL-JOCKD-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200046439,,,,,96
I-033114,ZDL-TRUDJ-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200055582,,,,,96
I-028477-02,MULTIMAX WITHOUT IRON 120 CAPSULES,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200004864,,,,,84
I-028473-01,ZDL-DAVIJEFFR-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200041204,,,,,72
I-033115,Vitamineral Max 120c - LABELS,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200009656,,,,,72
I-033116,ZDL-THEBIOSTATION-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200055370,,,,,72
I-033117,ZDL-THRIVEMD-ANWO 120 C,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200082523,,,,,72
I-033118,ZDL-ELYAY-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200042142,,,,,60
I-033119,ZDL-GHEIM-ANWO 120 C,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200081770,,,,,60
I-033120,ZDL-FALLP-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200042554,,,,,48
I-033121,ZDL-NANDRA-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200050105,,,,,48
I-033122,ZDL-STEWKE-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200054874,,,,,48
I-033123,ZDL-GERSJ-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200043388,,,,,48
I-033124,ZDL-BOCKK-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200039139,,,,,36
I-033125,ZDL-FRANCRO-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200042888,,,,,24
I-033126,ZDL-KORML-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200047170,,,,,24
I-033127,ZDL-MURRPA-ANWO,2021-12-08,2021-12-14,10346,Internal,Scheduling,XYMO Print,200049916,,,,,24
I-004743-53,Business Cards (staff),2021-12-09,2021-12-15,10377,Internal,Shipping,XYMO Print,300081286,HP Indigo 7900,2 - HIGH,Edward.Aponte@xymoprint.com,,500
I-004743-54,Business Cards (staff),2021-12-09,2021-12-15,10378,Internal,Shipping,XYMO Print,300081286,HP Indigo 7900,2 - HIGH,Edward.Aponte@xymoprint.com,,500
I-004743-55,Business Cards (staff),2021-12-09,2021-12-15,10379,Internal,Shipping,XYMO Print,300081286,HP Indigo 7900,2 - HIGH,Edward.Aponte@xymoprint.com,,500
I-033128,IGG powder labels,2021-12-09,2021-12-13,10384,Internal,Scheduling,XYMO Print,200001348,,,xymo@xymoprint.com,,12
I-032935-01,ZDL-BROET-FWCHOSF 14 sv,2021-12-09,2021-12-15,10386,Internal,Scheduling,XYMO Print,200007416,,,xymo@xymoprint.com,,8
I-033129,ZDL-ACEBW-ACTIVN,2021-12-09,2021-12-15,10390,Internal,Scheduling,XYMO Print,200037503,,,xymo@xymoprint.com,,12
I-033130,ZDL-BALAV-APPE240,2021-12-09,2021-12-15,10392,Internal,Scheduling,XYMO Print,200038553,,,xymo@xymoprint.com,,24
I-033131,ZDL-KELLEMA-VIRA,2021-12-09,2021-12-15,10393,Internal,Scheduling,XYMO Print,200046914,,,xymo@xymoprint.com,,24
I-033132,ZDL-NCFM-OSAPLEX,2021-12-09,2021-12-15,10395,Internal,Scheduling,XYMO Print,200080130,,,xymo@xymoprint.com,,24
I-032937-01,ZDL-SILVMEL-PMAXCO 30 C,2021-12-09,2021-12-15,10396,Internal,Scheduling,XYMO Print,200082994,,,xymo@xymoprint.com,,24
I-029677-05,ZDL-LOYALA-ADRENAL 60 C,2021-12-09,2021-12-15,10397,Internal,Scheduling,XYMO Print,200083660,,,xymo@xymoprint.com,,24
I-029486-04,ZDL-ABRAMARI-PBMSB 30 C,2021-12-09,2021-12-15,10398,Internal,Scheduling,XYMO Print,200083872,,,xymo@xymoprint.com,,24
I-006244-02,PhosphaLine 8oz Liquid - Labels,2021-12-09,2021-12-21,10400,Internal,Shipping,XYMO Print,200036494,HP Indigo 6800B,3 - MEDIUM,,,500
I-033133,CLEAN STICKER,2021-12-09,2021-12-17,10405,Internal,Shipping,XYMO Print,200003379,HP Indigo 6800B,2 - HIGH,,,12000
I-033134,ZDL-ALLEDA-OSAPLEX,2021-12-09,2021-12-15,10407,Internal,Scheduling,XYMO Print,200037931,,,xymo@xymoprint.com,,24
I-033135,ZDL-10008617-PBMSB 30 C,2021-12-09,2021-12-15,10410,Internal,Scheduling,XYMO Print,200081876,,,xymo@xymoprint.com,,60
I-032568-01,ZDL-ABRAMARI-200081639 60 T,2021-12-09,2021-12-15,10411,Internal,Scheduling,XYMO Print,200083842,,,xymo@xymoprint.com,,12
I-033136,ZDL-ABRAMARI-PMAXL 30 C,2021-12-09,2021-12-15,10412,Internal,Scheduling,XYMO Print,200083871,,,xymo@xymoprint.com,,12
I-032571-01,ZDL-ABRAMARI-CALCIUMD 90 C,2021-12-09,2021-12-15,10413,Internal,Scheduling,XYMO Print,200083881,,,xymo@xymoprint.com,,12
I-033137,ZDL-EMFIT-GIBALCHAI 14 sv,2021-12-09,2021-12-15,10414,Internal,Scheduling,XYMO Print,200085035,,,xymo@xymoprint.com,,48
I-033138,ZDL-10191736-BUFFC 20 P,2021-12-09,2021-12-15,10415,Internal,Scheduling,XYMO Print,200085054,,,xymo@xymoprint.com,,24
I-033139,ZDL-ANTOELL-OPMAGN,2021-12-09,2021-12-15,10391,Internal,Scheduling,XYMO Print,200038255,,,xymo@xymoprint.com,,24
I-028428-13,ZDL-HELFJA-OPMAGN,2021-12-09,2021-12-15,10391,Internal,Scheduling,XYMO Print,200044973,,,xymo@xymoprint.com,,12
I-033140,ZDL-ABRAMARI-RELAX,2021-12-09,2021-12-15,10406,Internal,Scheduling,XYMO Print,200037492,,,xymo@xymoprint.com,,12
I-028712-16,ZDL-HELFJA-RELAX,2021-12-09,2021-12-15,10406,Internal,Scheduling,XYMO Print,200080247,,,xymo@xymoprint.com,,12
I-033141,ZDL-ENGEKE-FFVCOCHOC,2021-12-09,2021-12-15,10409,Internal,Scheduling,XYMO Print,200042308,,,xymo@xymoprint.com,,24
I-033142,ZDL-KOBSB-FFLCVAN,2021-12-09,2021-12-15,10409,Internal,Scheduling,XYMO Print,200047125,,,xymo@xymoprint.com,,24
I-033143,ZDL-BOCKK-PMAXL,2021-12-09,2021-12-15,10408,Internal,Scheduling,XYMO Print,200039236,,,xymo@xymoprint.com,,24
I-033144,ZDL-HAASD-PM350C,2021-12-09,2021-12-15,10408,Internal,Scheduling,XYMO Print,200044207,,,xymo@xymoprint.com,,24
I-033145,ZDL-10112051-PMAXDAILY 30 C,2021-12-09,2021-12-15,10408,Internal,Scheduling,XYMO Print,200085053,,,xymo@xymoprint.com,,24
I-032257-01,Regeneration labels,2021-12-09,2021-12-15,10399,Internal,Scheduling,XYMO Print,200007421,,,xymo@xymoprint.com,,24
I-033146,ZDL-LOYALA-REGBIO 60 C,2021-12-09,2021-12-15,10399,Internal,Scheduling,XYMO Print,200025024,,,xymo@xymoprint.com,,24
I-033147,Cenegenics Collagen Plus 60c labels,2021-12-09,2021-12-15,10399,Internal,Scheduling,XYMO Print,200008386,,,xymo@xymoprint.com,,36
I-033148,ZDL-10008617-REGBIO 60 C,2021-12-09,2021-12-15,10399,Internal,Scheduling,XYMO Print,200081559,,,xymo@xymoprint.com,,36
I-033149,ZDL-RETZK-D35000,2021-12-09,2021-12-13,10389,Internal,Scheduling,XYMO Print,200052546,,,xymo@xymoprint.com,,24
I-033150,ZDL-DISHM-5MTHF,2021-12-09,2021-12-15,10389,Internal,Scheduling,XYMO Print,200041623,,,xymo@xymoprint.com,,24
I-032637-01,ZDL-NCFM-XCA75 60 C,2021-12-09,2021-12-15,10389,Internal,Scheduling,XYMO Print,200081722,,,xymo@xymoprint.com,,24
I-032293-01,ZDL-BROET-200081727 60 T,2021-12-09,2021-12-15,10389,Internal,Scheduling,XYMO Print,200082681,,,xymo@xymoprint.com,,24
I-032457-02,ZDL-CAPAA-QMAXUB200,2021-12-09,2021-12-16,10389,Internal,Scheduling,XYMO Print,200039996,,,xymo@xymoprint.com,,12
I-033151,MELATONIN 60CT,2021-12-09,2021-12-15,10389,Internal,Scheduling,XYMO Print,200033483,,,xymo@xymoprint.com,,8
I-033152,ZDL-ROFRT-VIRA,2021-12-09,2021-12-15,10382,Internal,Scheduling,XYMO Print,200052826,,,,,180
I-033153,Viralgraphis labels,2021-12-09,2021-12-15,10382,Internal,Scheduling,XYMO Print,200007446,,,,,60
I-032882-01,ViraComplete labels,2021-12-09,2021-12-15,10382,Internal,Scheduling,XYMO Print,200036504,,,,,48
I-033154,ZDL-HALLMIC-VIRA,2021-12-09,2021-12-15,10382,Internal,Scheduling,XYMO Print,200044355,,,,,48
I-033155,ZDL-JENSD-VIRA,2021-12-09,2021-12-15,10382,Internal,Scheduling,XYMO Print,200046409,,,,,48
I-032334-01,ZDL-KELLEMA3-VIRA,2021-12-09,2021-12-15,10382,Internal,Scheduling,XYMO Print,200046889,,,,,48
I-033156,ZDL-STEEL-VIRA,2021-12-09,2021-12-15,10382,Internal,Scheduling,XYMO Print,200054750,,,,,48
I-033157,ZDL-WATKZ-GHIVANSF,2021-12-09,2021-12-13,10388,Internal,Scheduling,XYMO Print,200056056,,,xymo@xymoprint.com,,24
I-029518-07,ZDL-ANTOELL-GHIVANSF,2021-12-09,2021-12-15,10388,Internal,Scheduling,XYMO Print,200038232,,,xymo@xymoprint.com,,48
I-033158,ZDL-SHEMR-GHICHOC,2021-12-09,2021-12-15,10388,Internal,Scheduling,XYMO Print,200053570,,,xymo@xymoprint.com,,24
I-032852-01,ZDL-SAVAP2-GHIVANSF,2021-12-09,2022-01-10,10388,Internal,Scheduling,XYMO Print,200080056,,,xymo@xymoprint.com,,24
I-033159,ZDL-ABRAMARI-OPTIP-VAN,2021-12-09,2021-12-15,10388,Internal,Scheduling,XYMO Print,200037484,,,xymo@xymoprint.com,,12
I-033160,ZDL-10008617-CAL-GHICHOC 14 sv,2021-12-09,2021-12-15,10388,Internal,Scheduling,XYMO Print,200081552,,,xymo@xymoprint.com,,12
I-033161,ZDL-10008617-CAL-GHIVAN 14 sv,2021-12-09,2021-12-15,10388,Internal,Scheduling,XYMO Print,200081553,,,xymo@xymoprint.com,,12
I-033162,ZDL-AGOLG--ADRLIV,2021-12-09,2021-12-16,10403,Internal,Scheduling,XYMO Print,200037623,,,,,372
I-033163,ZDL-YUMA--ADRLIV 120 C,2021-12-09,2021-12-16,10403,Internal,Scheduling,XYMO Print,200081391,,,,,132
I-033164,ZDL-DISHM--ADRLIV 120 C,2021-12-09,2021-12-16,10403,Internal,Scheduling,XYMO Print,200084717,,,,,84
I-033165,ZDL-ABRAMARI--ADRLIV,2021-12-09,2021-12-16,10403,Internal,Scheduling,XYMO Print,200037456,,,,,72
I-033166,ZDL-HOWTJ--ADRLIV,2021-12-09,2021-12-16,10403,Internal,Scheduling,XYMO Print,200045697,,,,,48
I-033167,ZDL-NAVAHEALTH--ADRLIV 120 C,2021-12-09,2021-12-16,10403,Internal,Scheduling,XYMO Print,200084747,,,,,48
I-033168,ZDL-GREEALL--ADRLIV,2021-12-09,2021-12-16,10403,Internal,Scheduling,XYMO Print,200043811,,,,,36
I-032631-01,ZDL-ABRAMARI-PROS,2021-12-09,2021-12-15,10383,Internal,Scheduling,XYMO Print,200037487,,,xymo@xymoprint.com,,24
I-032348-03,ZDL-LOGGJ-GAST,2021-12-09,2021-12-13,10383,Internal,Scheduling,XYMO Print,200048188,,,xymo@xymoprint.com,,24
I-033169,ZDL-SILVMEL-MP1300,2021-12-09,2021-12-15,10383,Internal,Scheduling,XYMO Print,200070377,,,xymo@xymoprint.com,,24
I-033170,ZDL-ALLEDA-IMMUN,2021-12-09,2021-12-13,10383,Internal,Scheduling,XYMO Print,200037904,,,xymo@xymoprint.com,,12
I-033171,ZDL-CLINIX-DIM,2021-12-09,2021-12-15,10383,Internal,Scheduling,XYMO Print,200040646,,,xymo@xymoprint.com,,24
I-033172,ZDL-NUPATHWAYS-DIM,2021-12-09,2021-12-15,10383,Internal,Scheduling,XYMO Print,200050605,,,xymo@xymoprint.com,,24
I-029143-20,ZDL-HELFJA-MP1300,2021-12-09,2021-12-15,10383,Internal,Scheduling,XYMO Print,200080234,,,xymo@xymoprint.com,,12
I-033173,ZDL-DAVIJEFFR-IRONG 120 C,2021-12-09,2021-12-15,10383,Internal,Scheduling,XYMO Print,200085050,,,xymo@xymoprint.com,,48
I-032615-02,ZDL-NCFM-PROB100,2021-12-09,2021-12-15,10394,Internal,Scheduling,XYMO Print,200070095,,,xymo@xymoprint.com,,48
I-033174,ZDL-CENGEN2-PROB100,2021-12-09,2021-12-15,10394,Internal,Scheduling,XYMO Print,200008381,,,xymo@xymoprint.com,,120
I-032878-01,ZDL-SUTTF4-PROB100,2021-12-09,2021-12-15,10394,Internal,Scheduling,XYMO Print,200033474,,,xymo@xymoprint.com,,24
I-033175,ZDL-BOCKK-PMAXCO,2021-12-09,2021-12-15,10394,Internal,Scheduling,XYMO Print,200039234,,,xymo@xymoprint.com,,24
I-033176,ZDL-HAASD-PMAXCO 30 C,2021-12-09,2021-12-15,10394,Internal,Scheduling,XYMO Print,200081546,,,xymo@xymoprint.com,,24
I-033177,ZDL-10008617-PMAXL 30 C,2021-12-09,2021-12-15,10394,Internal,Scheduling,XYMO Print,200081873,,,xymo@xymoprint.com,,72
I-033178,ZDL-10008617-PMAXCO 30 C,2021-12-09,2021-12-15,10394,Internal,Scheduling,XYMO Print,200081875,,,xymo@xymoprint.com,,60
I-033179,ZDL-10008617-PROB100 30 C,2021-12-09,2021-12-15,10394,Internal,Scheduling,XYMO Print,200081879,,,xymo@xymoprint.com,,12
I-032303-01,ZDL-DENNSUS-SACCB,2021-12-09,2021-12-15,10380,Internal,Scheduling,XYMO Print,200041499,,,,,288
I-033180,ZDL-HAASD-SACCB,2021-12-09,2021-12-15,10380,Internal,Scheduling,XYMO Print,200044226,,,,,144
I-033181,ZDL-ELYAY-SACCB,2021-12-09,2021-12-15,10380,Internal,Scheduling,XYMO Print,200042219,,,,,132
I-033182,ZDL-NCFM-SACCB,2021-12-09,2021-12-15,10380,Internal,Scheduling,XYMO Print,200070211,,,,,120
I-033183,ZDL-MASOD-SACCB,2021-12-09,2021-12-15,10380,Internal,Scheduling,XYMO Print,200048752,,,,,96
I-033184,ZDL-GHEIM-SACCB,2021-12-09,2021-12-15,10380,Internal,Scheduling,XYMO Print,200043451,,,,,72
I-032640-01,ZDL-10044040-SACCB 60 C,2021-12-09,2021-12-15,10380,Internal,Scheduling,XYMO Print,200083131,,,,,60
I-032966-01,ZDL-PATEV-SACCB,2021-12-09,2021-12-15,10380,Internal,Scheduling,XYMO Print,200051257,,,,,48
I-033185,ZDL-TURNCC-SACCB,2021-12-09,2021-12-15,10380,Internal,Scheduling,XYMO Print,200080644,,,,,36
I-033186,ZDL-DEMPTA-SACCB,2021-12-09,2021-12-15,10380,Internal,Scheduling,XYMO Print,200041441,,,,,24
I-033187,BROET- Ossomag LABELS,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200007436,,,xymo@xymoprint.com,,36
I-032725-01,ZDL-DOUIJ-OSSO1100,2021-12-09,2021-12-16,10387,Internal,Scheduling,XYMO Print,200041740,,,xymo@xymoprint.com,,24
I-031992-02,ZDL-ANTOELL-OPTIMAG,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200038256,,,xymo@xymoprint.com,,24
I-033188,ZDL-HOLTKE-XENO,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200045575,,,xymo@xymoprint.com,,24
I-033189,ZDL-SILVMEL-ACTIVN,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200053770,,,xymo@xymoprint.com,,12
I-033190,ZDL-THRIVEMD-CINN 120 C,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200081943,,,xymo@xymoprint.com,,12
I-033191,ZDL-NCFM--ADRENAL,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200080669,,,xymo@xymoprint.com,,24
I-033192,MG BLEND 120ct,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200033491,,,xymo@xymoprint.com,,24
I-032663-01,ZDL-ABRAMARI-XENO,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200037497,,,xymo@xymoprint.com,,12
I-033193,ZDL-HAASD--COL,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200044105,,,xymo@xymoprint.com,,24
I-033194,ZDL-MARKJE-IG26CAP,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200048572,,,xymo@xymoprint.com,,12
I-033195,ZDL-HELFJA-OSSO,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200080253,,,xymo@xymoprint.com,,12
I-033196,ZDL-10008617-CAL-OSSO1100 120 C,2021-12-09,2021-12-15,10387,Internal,Scheduling,XYMO Print,200081554,,,xymo@xymoprint.com,,36
I-033197,CoQ10 Ubiquinol 60c,2021-12-09,2021-12-15,10381,Internal,Scheduling,XYMO Print,200001454,,,,,744
I-033198,CoQ10 Supreme Ubiquinol Labels,2021-12-09,2021-12-15,10381,Internal,Scheduling,XYMO Print,200001690,,,,,312
I-033199,ZDL-DAVIJEFFR-QMAXUB,2021-12-09,2021-12-15,10381,Internal,Scheduling,XYMO Print,200041235,,,,,192
I-033200,ZDL-BOCKK-QMAXUB,2021-12-09,2021-12-15,10381,Internal,Scheduling,XYMO Print,200039245,,,,,180
I-033201,ZDL-KRIECH-QMAXUB,2021-12-09,2021-12-15,10381,Internal,Scheduling,XYMO Print,200047314,,,,,168
